iteration,nll_loss
0,1.1815484762191772
1,1.1889009475708008
2,1.1741316318511963
3,1.1813676357269287
4,1.1746530532836914
5,1.1642158031463623
6,1.1607235670089722
7,1.1660232543945312
8,1.162333369255066
9,1.1664507389068604
10,1.1554726362228394
11,1.1515529155731201
12,1.1538362503051758
13,1.1444759368896484
14,1.153562307357788
15,1.1566264629364014
16,1.1482033729553223
17,1.1449321508407593
18,1.1435543298721313
19,1.1466666460037231
20,1.1409021615982056
21,1.1381826400756836
22,1.1304073333740234
23,1.1201236248016357
24,1.1295232772827148
25,1.1222747564315796
26,1.120682954788208
27,1.1211137771606445
28,1.1254174709320068
29,1.1124683618545532
30,1.1084585189819336
31,1.1061322689056396
32,1.098708987236023
33,1.100699782371521
34,1.0985480546951294
35,1.1019511222839355
36,1.0930126905441284
37,1.087439775466919
38,1.0800050497055054
39,1.0820392370224
40,1.0767954587936401
41,1.0748862028121948
42,1.0614427328109741
43,1.0554091930389404
44,1.0570173263549805
45,1.0452877283096313
46,1.0475077629089355
47,1.027275562286377
48,1.0318775177001953
49,1.0159600973129272
50,1.0086747407913208
51,1.0019997358322144
52,0.993626594543457
53,0.9882621169090271
54,0.9777101874351501
55,0.9683322310447693
56,0.9601214528083801
57,0.949044942855835
58,0.940926730632782
59,0.9282816648483276
60,0.9190317988395691
61,0.9092031717300415
62,0.8978753089904785
63,0.8861108422279358
64,0.8727944493293762
65,0.8577314615249634
66,0.8511910438537598
67,0.8342828154563904
68,0.8229729533195496
69,0.8090335130691528
70,0.7975977063179016
71,0.7770344614982605
72,0.7589299082756042
73,0.752144455909729
74,0.7429579496383667
75,0.7163664102554321
76,0.7050764560699463
77,0.6998991966247559
78,0.6741513013839722
79,0.6617878079414368
80,0.6408061981201172
81,0.631062388420105
82,0.6152536869049072
83,0.5974064469337463
84,0.5904521346092224
85,0.5650694370269775
86,0.5418540239334106
87,0.5341647863388062
88,0.5227864384651184
89,0.4974950850009918
90,0.4851379990577698
91,0.4745403826236725
92,0.4349677264690399
93,0.44148683547973633
94,0.4312385320663452
95,0.4140956699848175
96,0.39522019028663635
97,0.3787710964679718
98,0.34478527307510376
99,0.34620657563209534
100,0.3252895474433899
101,0.31038838624954224
102,0.2664932608604431
103,0.27178213000297546
104,0.24755047261714935
105,0.23494265973567963
106,0.23988637328147888
107,0.16576896607875824
108,0.17427247762680054
109,0.17575405538082123
110,0.1353638768196106
111,0.16343088448047638
112,0.093903087079525
113,0.10536228865385056
114,0.048029862344264984
115,0.10795998573303223
116,0.04300534725189209
117,-0.0028143376111984253
118,0.009421020746231079
119,-0.04082132875919342
120,-0.04412558302283287
121,-0.09055100381374359
122,-0.025246255099773407
123,-0.06124907732009888
124,-0.10159773379564285
125,-0.12590280175209045
126,-0.15701225399971008
127,-0.2217615246772766
128,-0.1917015165090561
129,-0.23324063420295715
130,-0.2478277087211609
131,-0.28834182024002075
132,-0.32468318939208984
133,-0.32505112886428833
134,-0.3196735382080078
135,-0.40515366196632385
136,-0.24119694530963898
137,-0.46420198678970337
138,-0.3207434415817261
139,-0.36370962858200073
140,-0.4908522665500641
141,-0.5367698073387146
142,-0.5262064933776855
143,-0.4974950850009918
144,-0.5549339056015015
145,-0.5150521993637085
146,-0.6491528749465942
147,-0.5683009624481201
148,-0.4807181656360626
149,-0.5721322894096375
150,-0.6325687170028687
151,-0.5898933410644531
152,-0.6238784193992615
153,-0.7517601847648621
154,-0.6001055240631104
155,-0.6523635387420654
156,-0.6677384376525879
157,-0.678168535232544
158,-0.6582143306732178
159,-0.667793869972229
160,-0.7148895263671875
161,-0.7021298408508301
162,-0.7494933009147644
163,-0.7313103675842285
164,-0.8467910289764404
165,-0.8454887866973877
166,-0.7044759392738342
167,-0.8668815493583679
168,-0.8109273314476013
169,-0.7617303133010864
170,-0.8256723284721375
171,-0.8373669385910034
172,-0.8509531617164612
173,-0.8732444643974304
174,-0.820955216884613
175,-0.7865625619888306
176,-0.8333601355552673
177,-0.8339067697525024
178,-0.8733708262443542
179,-0.8335769176483154
180,-0.9371674656867981
181,-0.9255039095878601
182,-0.8552259802818298
183,-0.8471713066101074
184,-0.883344292640686
185,-0.7996901869773865
186,-0.9227756261825562
187,-0.9511589407920837
188,-0.9023892879486084
189,-0.8609325289726257
190,-0.8869588971138
191,-0.8430187106132507
192,-0.9049129486083984
