test_index,ee_mse,obj_mse
0,1.2135641554777976e-05,3.354980663061724e-06
1,2.0951692931703292e-05,2.921443410741631e-06
2,1.4450688468059525e-05,2.6179504857282154e-06
3,1.6884016076801345e-05,1.0569950063654687e-05
4,0.00046081398613750935,0.00018957511929329485
5,6.579793262062594e-05,5.419356966740452e-06
6,2.375436270085629e-05,2.585528363852063e-06
7,6.703779945382848e-05,6.0927163758606184e-06
8,0.00019629238522611558,5.100668204249814e-06
9,8.735084702493623e-05,1.8088496290147305e-05
10,8.838882786221802e-05,9.990559192374349e-06
11,1.4896706488798372e-05,2.7240107556281146e-06
12,3.525619467836805e-05,2.550702902226476e-06
13,4.979814184480347e-05,1.582395998411812e-05
14,5.019970558350906e-06,8.403341780649498e-06
15,8.300551417050883e-05,2.014500023506116e-05
16,2.5188064682879485e-05,2.47995080826513e-06
17,6.260124064283445e-05,2.840355136868311e-06
18,1.2658038031077012e-05,2.8084068617317826e-06
19,2.3845943360356614e-05,9.014962415676564e-06
20,3.1083643989404663e-05,0.00016299272829201072
21,0.00011970063496846706,2.4749033400439657e-06
22,2.1869240299565718e-05,4.6019988076295704e-05
23,7.058645132929087e-05,0.0004745030601043254
24,6.676475550193572e-07,8.887100557330996e-05
25,8.915485523175448e-06,0.00011416524648666382
26,3.662003655335866e-05,4.455364887689939e-06
27,3.2982472475850955e-05,3.2680163712939247e-06
28,1.2740885722450912e-05,2.800836909955251e-06
29,3.5618857509689406e-05,3.917671347153373e-05
30,4.1907238482963294e-05,7.063840712362435e-06
31,2.567487899796106e-05,2.273983227496501e-05
32,5.6172411859733984e-05,6.6231364144186955e-06
33,0.00010079208732349798,2.6653574423107784e-06
34,4.5440207031788304e-05,5.073058673588093e-06
35,0.0007322219898924232,6.691714133921778e-06
36,2.018704981310293e-05,4.739231371786445e-06
37,1.3476272215484641e-05,0.00010322604794055223
38,1.9140532458550297e-05,4.845332568947924e-06
39,3.962244591093622e-05,2.6975308173859958e-06
40,2.6011721274699084e-06,9.87481871561613e-06
41,3.6591845855582505e-05,2.684736955416156e-06
42,1.3677667993761133e-05,1.7289936295128427e-05
43,6.426204345189035e-05,6.332961675070692e-06
44,3.516670039971359e-05,2.4830409529386088e-05
45,1.189267095469404e-05,2.7550939194043167e-05
46,0.0003843502781819552,1.781765604391694e-06
47,0.0001477464975323528,3.7504107694985578e-06
48,0.00013380892050918192,0.0002959305711556226
49,2.5943687433027662e-05,7.020129942247877e-06
50,8.054244972299784e-05,3.280747478129342e-05
51,2.3375680029857904e-05,4.685577550844755e-06
52,1.1555747732927557e-05,2.405464101684629e-06
53,4.625484507414512e-05,7.99798817752162e-06
54,7.369573722826317e-05,3.658677542262012e-06
55,3.5402688808972016e-05,2.387266704317881e-06
56,1.2957799299329054e-05,0.00017642219609115273
57,7.876082236180082e-05,3.086166179855354e-05
58,4.7862828068900853e-05,5.4095812629384454e-06
59,3.140125045320019e-05,4.365327185951173e-05
60,1.2003083611489274e-05,3.034710744032054e-06
61,1.2615431842277758e-05,2.6765186703414656e-05
62,3.292796100140549e-05,6.826134722359711e-06
63,0.00018531701061874628,0.00027187546947970986
64,3.550959809217602e-05,7.841807382646948e-05
65,4.661455750465393e-05,8.01081841927953e-06
66,3.6105135222896934e-05,3.158097570121754e-06
67,7.91590446169721e-06,9.068693907465786e-05
68,1.4402421584236436e-05,1.8238948769067065e-06
69,0.00013104121899232268,5.23011931363726e-06
70,2.7762327590608038e-05,0.00014920193643774837
71,1.226727181347087e-05,5.658334703184664e-05
72,1.8387658201390877e-05,3.3094652280851733e-06
73,5.168572533875704e-05,1.75663467416598e-06
74,1.1802744666056242e-05,2.0331806808826514e-05
75,2.8597278287634254e-05,5.4851698223501444e-05
76,3.7097906897543e-05,4.6182467485778034e-05
77,1.8527909560361877e-05,1.5980608623067383e-06
78,7.277584518305957e-05,7.179442764027044e-05
79,6.737112562404945e-05,1.0207045306742657e-05
80,4.581185930874199e-05,0.0001414489815942943
81,1.5147666999837384e-05,7.688504410907626e-05
82,3.8055637560319155e-05,4.385444299259689e-06
83,7.014151196926832e-05,0.00015166272351052612
84,2.7298763598082587e-05,3.234839823562652e-06
85,2.4339831725228578e-05,2.91179367195582e-06
86,3.572366404114291e-05,3.2299210488417884e-06
87,3.0096267437329516e-05,2.4881343051674776e-05
88,0.0005177495186217129,0.006284808740019798
89,1.2937881365360226e-05,0.00012384398723952472
90,5.865259299753234e-05,1.576273007231066e-06
91,1.2476601114030927e-05,0.00026031906600110233
92,0.00013323566236067563,0.00010958984785247594
93,3.8754678826080635e-05,1.6362719179596752e-06
94,5.363271156966221e-06,1.9403075839363737e-06
95,5.016165232518688e-05,3.437429995756247e-06
96,3.233309689676389e-05,5.410723588283872e-06
97,1.4137396647129208e-05,6.7873461375711486e-06
98,8.737443749851082e-06,1.183541098725982e-05
99,6.749111344106495e-05,7.911588181741536e-05
