test_index,ee_mse,obj_mse
0,9.629711712477729e-05,2.566417833804735e-06
1,6.927389767952263e-05,1.3846097317582462e-06
2,0.00012137370504206046,1.3787010857413406e-06
3,5.775293902843259e-05,1.719597275950946e-05
4,3.3190346584888175e-05,0.00013364164624363184
5,8.37221450638026e-05,2.0967349882994313e-06
6,6.675822078250349e-05,2.4155283426807728e-06
7,1.748435533954762e-05,2.505232441762928e-05
8,5.347145997802727e-05,6.839862180640921e-06
9,8.751008135732263e-05,5.767560287495144e-05
10,7.215708319563419e-05,3.300153184682131e-05
11,0.0003178533515892923,1.6567810234846547e-06
12,2.770831088128034e-05,2.9822808755852748e-06
13,0.00024041353026404977,6.717910582665354e-05
14,1.9523458831827156e-05,4.7414367145393044e-05
15,5.490198964253068e-05,3.78339464077726e-05
16,7.121038652257994e-05,1.533475483483926e-06
17,5.080275150248781e-05,8.926564987632446e-06
18,6.829138874309137e-05,2.0792001578229247e-06
19,4.899693522020243e-05,3.816199750872329e-05
20,3.7182158848736435e-05,2.455366302456241e-05
21,0.0003765335422940552,2.0557697553158505e-06
22,2.3600554413860664e-05,3.827401087619364e-05
23,6.28493444310152e-06,0.00014131772331893444
24,0.0001638384856050834,1.3866384733773884e-06
25,3.094442581641488e-05,3.557715899660252e-05
26,3.6134115362074226e-05,1.3650509572471492e-05
27,4.347251888248138e-05,1.1572859875741415e-05
28,0.0001012878492474556,3.0090650398051366e-06
29,3.35340628225822e-05,1.8043503587250598e-05
30,5.6004690122790635e-05,9.915589544107206e-06
31,1.4742188795935363e-05,5.461324690259062e-05
32,6.11145651419065e-06,1.4279205970524345e-05
33,8.453705231659114e-05,6.263291396635395e-08
34,0.0002864416455850005,3.279491647845134e-05
35,0.00018368259770795703,1.3620961908600293e-05
36,9.511722964816727e-06,4.578704829327762e-05
37,9.222861990565434e-06,9.776854858500883e-05
38,0.00010249095794279128,2.6288289518561214e-06
39,0.00010777716670418158,1.6191331724257907e-06
40,7.199318497441709e-05,3.1779268283571582e-06
41,8.148549386532977e-05,4.0402710510534234e-06
42,8.428343426203355e-05,1.959349901881069e-05
43,0.00011617293057497591,1.6566112890359364e-06
44,2.931464223365765e-05,2.1827856471645646e-05
45,2.351435432501603e-05,1.2623177099158056e-05
46,0.0016686603194102645,6.64992694510147e-06
47,0.00028307214961387217,1.4007206345922896e-06
48,0.0003917110152542591,0.0002163090684916824
49,0.00021639866463374346,9.263976608053781e-06
50,2.4907942133722827e-05,9.584614599589258e-05
51,5.7655015552882105e-05,5.755270194640616e-06
52,7.331427332246676e-05,1.4552138054568786e-06
53,0.00015568592061754316,5.9986970882164314e-05
54,3.92414367524907e-05,4.85581438169902e-07
55,3.8947917346376926e-05,1.6292752889057738e-06
56,3.942250259569846e-05,0.00014522948185913265
57,3.601320713642053e-05,2.571855020505609e-06
58,7.623476267326623e-05,4.905647074338049e-06
59,1.4357010513776913e-05,2.2985152099863626e-05
60,2.3156131646828726e-05,3.9277333598874975e-06
61,4.901630381937139e-05,3.706209463416599e-05
62,8.529532351531088e-05,1.5066363630467094e-05
63,1.769016307662241e-05,3.13740165438503e-05
64,4.785145938512869e-05,3.773871503653936e-05
65,0.0003201012732461095,0.00010505130921956152
66,3.5556964576244354e-05,2.0002651126560522e-06
67,9.983874406316318e-06,9.90916396403918e-06
68,0.00010294755338691175,2.2994938717602054e-06
69,8.620934386271983e-05,2.5157930849672994e-06
70,1.2364063877612352e-05,2.6714609703049064e-05
71,2.653327646839898e-05,7.784487388562411e-05
72,3.4277152735739946e-05,3.6956346320948796e-06
73,2.1181918782531284e-05,0.00011560654093045741
74,2.494239561201539e-05,3.160263804602437e-05
75,5.1574220378824975e-06,2.3314634745474905e-05
76,1.3734614185523242e-05,3.610235944506712e-05
77,4.613119381247088e-05,2.9469961191352922e-06
78,8.711410919204354e-05,1.4952970559534151e-05
79,0.00012274993059691042,6.356810627039522e-05
80,2.3306756702368148e-05,2.067612876999192e-05
81,4.2919415136566386e-05,3.7331665225792676e-05
82,1.3847579793946352e-05,2.910133616751409e-06
83,6.780449621146545e-05,0.00033395958598703146
84,2.8312362701399252e-05,2.7863286504725693e-06
85,0.00019422425248194486,2.5750061922735767e-06
86,5.1194674597354606e-05,1.8650972606337746e-06
87,3.725543137989007e-05,0.00011585388710955158
88,4.376706056063995e-05,0.0001081209848052822
89,4.529377110884525e-05,0.00033057655673474073
90,5.396398046286777e-05,3.4104032238246873e-06
91,2.677212432899978e-05,2.1591085896943696e-05
92,5.924656943534501e-05,3.1243056582752615e-05
93,6.0974154621362686e-05,1.9769458958762698e-06
94,5.288382089929655e-05,5.721329216612503e-05
95,9.376431989949197e-05,9.49939646943676e-07
96,0.00012358637468423694,3.0777641768509056e-06
97,5.606077138509136e-06,3.0109218641882762e-05
98,3.929452213924378e-05,2.392666465311777e-05
99,2.044525717792567e-05,4.5713877625530586e-05
