iteration,nll_loss
0,1.2074759006500244
1,1.2024329900741577
2,1.202120065689087
3,1.1931990385055542
4,1.1882057189941406
5,1.1897560358047485
6,1.192664384841919
7,1.1786036491394043
8,1.1823525428771973
9,1.1719861030578613
10,1.176888346672058
11,1.1761246919631958
12,1.1702677011489868
13,1.1641638278961182
14,1.1597319841384888
15,1.1603180170059204
16,1.1566840410232544
17,1.1543140411376953
18,1.1465612649917603
19,1.1488741636276245
20,1.1388518810272217
21,1.1315525770187378
22,1.1325488090515137
23,1.1302145719528198
24,1.1136183738708496
25,1.123131275177002
26,1.1076133251190186
27,1.1054493188858032
28,1.1036572456359863
29,1.092452049255371
30,1.07772696018219
31,1.0732617378234863
32,1.0652341842651367
33,1.0516459941864014
34,1.0368667840957642
35,1.02129328250885
36,0.9967027902603149
37,0.9697945713996887
38,0.9453284740447998
39,0.9184601306915283
40,0.8796643614768982
41,0.8476172685623169
42,0.8090720176696777
43,0.7686437368392944
44,0.7320591807365417
45,0.7040289044380188
46,0.6876664757728577
47,0.6833980679512024
48,0.673367440700531
49,0.6553518176078796
50,0.6209122538566589
51,0.5801522731781006
52,0.5530182123184204
53,0.5157766938209534
54,0.49020662903785706
55,0.46889618039131165
56,0.44130706787109375
57,0.4034033715724945
58,0.37615299224853516
59,0.32347702980041504
60,0.27467721700668335
61,0.23960164189338684
62,0.20606021583080292
63,0.17370454967021942
64,0.11061300337314606
65,0.0663515105843544
66,-0.016480252146720886
67,-0.03529590368270874
68,-0.085945725440979
69,-0.16122765839099884
70,-0.18575412034988403
71,-0.29764583706855774
72,-0.33086466789245605
73,-0.39455124735832214
74,-0.4493619501590729
75,-0.514784574508667
76,-0.5220153331756592
77,-0.5896834135055542
78,-0.6317099928855896
79,-0.6889731884002686
80,-0.5530077815055847
81,-0.612971842288971
82,-0.711836576461792
83,-0.6206564903259277
84,-0.7723705768585205
85,-0.7299453616142273
86,-0.6483260989189148
87,-0.7751795053482056
88,-0.7543544173240662
89,-0.7304664254188538
90,-0.8189476132392883
91,-0.7940584421157837
92,-0.855884850025177
93,-0.8148370385169983
94,-0.8327748775482178
95,-0.7053279280662537
96,-0.8449605703353882
97,-0.8374994397163391
98,-0.8295621275901794
99,-0.8536186218261719
100,-0.8226378560066223
101,-0.8662814497947693
102,-0.7932795882225037
103,-0.8915297389030457
104,-0.8404648900032043
105,-0.8704824447631836
106,-0.8781383037567139
107,-0.8558647036552429
108,-0.8537505269050598
109,-0.8797561526298523
110,-0.8954299688339233
111,-0.9117023944854736
112,-0.8768815398216248
113,-0.8841816782951355
114,-0.887567937374115
115,-0.8961136341094971
116,-0.9650587439537048
117,-0.8664227724075317
118,-0.9270887970924377
119,-0.9256446361541748
120,-0.9214556217193604
121,-0.9265614151954651
122,-0.947283923625946
123,-0.9393237233161926
124,-0.9690035581588745
