episode,total_reward,rps,avg_reward_100,avg_rps_100,epsilon,loss
1,6.9435,0.1389,6.9435,0.1389,0.8958,0.0
2,3.1381,0.0628,5.0408,0.1008,0.8915,0.0
3,7.5399,0.1508,5.8738,0.1175,0.8872,0.052453
4,4.587,0.0917,5.5521,0.111,0.883,0.035301
5,3.1459,0.0629,5.0709,0.1014,0.8788,0.017955
6,2.3876,0.0478,4.6237,0.0925,0.8745,0.009154
7,3.828,0.0766,4.51,0.0902,0.8702,0.004758
8,6.1568,0.1231,4.7159,0.0943,0.866,0.002712
9,7.6762,0.1535,5.0448,0.1009,0.8618,0.002404
10,1.9082,0.0382,4.7311,0.0946,0.8575,0.002227
11,2.7427,0.0549,4.5504,0.091,0.8532,0.002295
12,2.0684,0.0414,4.3435,0.0869,0.849,0.002635
13,6.1447,0.1229,4.4821,0.0896,0.8448,0.002885
14,3.8101,0.4763,4.4341,0.1173,0.8441,0.003093
15,5.42,0.1084,4.4998,0.1167,0.8398,0.0042
16,2.3665,0.0473,4.3665,0.1123,0.8356,0.004629
17,5.795,0.1159,4.4505,0.1125,0.8313,0.004363
18,12.3274,0.2465,4.8881,0.12,0.8271,0.005021
19,3.0661,0.0613,4.7922,0.1169,0.8228,0.006094
20,8.019,0.1604,4.9536,0.1191,0.8186,0.005787
21,4.8992,0.098,4.951,0.1181,0.8143,0.006409
22,9.2332,0.1847,5.1456,0.1211,0.8101,0.007687
23,3.3989,0.068,5.0697,0.1188,0.8058,0.007754
24,2.1419,0.0428,4.9477,0.1156,0.8016,0.008549
25,4.6902,0.0938,4.9374,0.1148,0.7973,0.008419
26,3.8497,0.077,4.8955,0.1133,0.7931,0.008281
27,2.4895,0.0498,4.8064,0.1109,0.7888,0.008497
28,4.8677,0.0974,4.8086,0.1105,0.7846,0.010549
29,3.3108,0.0662,4.757,0.1089,0.7803,0.010976
30,4.1024,0.082,4.7352,0.108,0.7761,0.010466
31,2.3609,0.0472,4.6586,0.1061,0.7718,0.012621
32,2.8172,0.0563,4.601,0.1045,0.7676,0.011619
33,3.8515,0.077,4.5783,0.1037,0.7633,0.013844
34,3.7776,0.0756,4.5548,0.1029,0.7591,0.01456
35,8.0932,0.1619,4.6559,0.1045,0.7548,0.012988
36,4.4404,0.0888,4.6499,0.1041,0.7506,0.014547
37,3.9961,0.0799,4.6322,0.1035,0.7463,0.014381
38,2.1871,0.0437,4.5679,0.1019,0.7421,0.014822
39,5.2135,0.1043,4.5844,0.1019,0.7378,0.017241
40,7.8844,0.1577,4.6669,0.1033,0.7336,0.01603
41,2.1043,0.0421,4.6044,0.1018,0.7293,0.018113
42,6.9532,0.1391,4.6603,0.1027,0.7251,0.018252
43,5.1619,0.1032,4.672,0.1027,0.7208,0.018305
44,2.5087,0.0502,4.6228,0.1015,0.7166,0.021145
45,3.8011,0.076,4.6046,0.101,0.7123,0.019962
46,2.5995,0.052,4.561,0.0999,0.7081,0.021327
47,5.0536,0.1011,4.5715,0.0999,0.7038,0.027967
48,9.1865,0.1837,4.6676,0.1017,0.6996,0.02495
49,3.377,0.0675,4.6413,0.101,0.6953,0.028504
50,7.8687,0.1574,4.7058,0.1021,0.6911,0.027241
51,2.5692,0.0514,4.6639,0.1011,0.6868,0.028392
52,6.6865,0.1337,4.7028,0.1018,0.6826,0.029841
53,3.6506,0.073,4.683,0.1012,0.6783,0.032602
54,3.628,0.0726,4.6634,0.1007,0.6741,0.032458
55,18.4569,0.4102,4.9142,0.1063,0.6702,0.031396
56,5.6506,0.113,4.9274,0.1064,0.666,0.031586
57,5.7315,0.1146,4.9415,0.1066,0.6617,0.035646
58,6.9569,0.1391,4.9762,0.1071,0.6575,0.034758
59,7.244,0.1449,5.0147,0.1078,0.6532,0.034641
60,8.3322,0.1666,5.07,0.1088,0.649,0.039356
61,5.9401,0.1188,5.0842,0.1089,0.6447,0.037084
62,2.5843,0.0517,5.0439,0.108,0.6405,0.04403
63,3.5339,0.0707,5.0199,0.1074,0.6362,0.039249
64,9.2102,0.1842,5.0854,0.1086,0.632,0.048456
65,2.0213,0.0404,5.0383,0.1076,0.6277,0.051292
66,12.9015,0.258,5.1574,0.1098,0.6235,0.048872
67,5.6649,0.1133,5.165,0.1099,0.6192,0.045225
68,8.6448,0.1729,5.2162,0.1108,0.615,0.053646
69,1.8875,0.0377,5.1679,0.1098,0.6107,0.046034
70,16.0,0.32,5.3227,0.1128,0.6065,0.055177
71,2.2863,0.0457,5.2799,0.1118,0.6022,0.06671
72,4.3434,0.0869,5.2669,0.1115,0.598,0.064389
73,4.8804,0.0976,5.2616,0.1113,0.5937,0.054005
74,3.2606,0.0652,5.2346,0.1107,0.5895,0.064355
75,2.8524,0.057,5.2028,0.1099,0.5852,0.066272
76,3.0577,0.0612,5.1746,0.1093,0.581,0.066985
77,2.6656,0.0533,5.142,0.1086,0.5767,0.069846
78,3.2712,0.0654,5.118,0.108,0.5725,0.066942
79,3.8349,0.0767,5.1018,0.1076,0.5682,0.066162
80,3.5089,0.0702,5.0818,0.1072,0.564,0.071659
81,3.7335,0.0747,5.0652,0.1067,0.5597,0.073332
82,3.7463,0.0749,5.0491,0.1064,0.5555,0.079373
83,3.7063,0.0741,5.0329,0.106,0.5512,0.072394
84,7.36,0.1472,5.0606,0.1065,0.547,0.079168
85,7.8581,0.1572,5.0935,0.1071,0.5427,0.080844
86,4.5144,0.0903,5.0868,0.1069,0.5385,0.089477
87,2.7733,0.0555,5.0602,0.1063,0.5342,0.083667
88,4.6017,0.092,5.055,0.1061,0.53,0.074646
89,1.9128,0.0383,5.0197,0.1054,0.5257,0.080509
90,3.9218,0.0784,5.0075,0.1051,0.5215,0.089914
91,6.1402,0.1228,5.02,0.1052,0.5172,0.076596
92,3.1412,0.0628,4.9995,0.1048,0.513,0.105512
93,6.3251,0.1265,5.0138,0.105,0.5087,0.093512
94,2.1891,0.0438,4.9837,0.1044,0.5045,0.092172
95,5.1506,0.103,4.9855,0.1044,0.5002,0.091576
96,17.8819,0.3576,5.1198,0.107,0.496,0.09577
97,7.1827,0.1437,5.1411,0.1074,0.4917,0.093123
98,13.8666,0.2773,5.2301,0.1091,0.4875,0.104159
99,5.4304,0.1086,5.2322,0.1091,0.4832,0.092742
100,3.5294,0.0706,5.2151,0.1087,0.479,0.110539
101,4.9284,0.0986,5.195,0.1083,0.4747,0.108098
102,4.2162,0.0843,5.2058,0.1085,0.4705,0.089602
103,1.9807,0.0396,5.1502,0.1074,0.4662,0.089494
104,9.2187,0.1844,5.1965,0.1083,0.462,0.105806
105,16.057,0.3211,5.3256,0.1109,0.4577,0.125879
106,3.4062,0.0681,5.3358,0.1111,0.4535,0.115351
107,3.063,0.0613,5.3281,0.111,0.4492,0.115975
108,4.4599,0.0892,5.3112,0.1106,0.445,0.116121
109,7.0845,0.1417,5.3052,0.1105,0.4407,0.115796
110,9.6361,0.1927,5.3825,0.1121,0.4365,0.142654
111,4.4714,0.0894,5.3998,0.1124,0.4322,0.126609
112,2.7461,0.0549,5.4066,0.1125,0.428,0.121919
113,7.127,0.1425,5.4164,0.1127,0.4237,0.11742
114,3.7256,0.0745,5.4156,0.1087,0.4195,0.132816
115,3.7232,0.0745,5.3986,0.1084,0.4152,0.125002
116,5.4187,0.1084,5.4291,0.109,0.411,0.139232
117,3.039,0.0608,5.4016,0.1084,0.4067,0.140024
118,8.8038,0.1761,5.3663,0.1077,0.4025,0.121849
119,6.9772,0.1395,5.4054,0.1085,0.3982,0.144051
120,8.0992,0.162,5.4062,0.1085,0.394,0.148582
121,5.5241,0.1105,5.4125,0.1087,0.3897,0.146892
122,6.7277,0.1346,5.3874,0.1082,0.3855,0.132764
123,6.5573,0.1311,5.419,0.1088,0.3812,0.164949
124,4.4775,0.0895,5.4424,0.1093,0.377,0.127044
125,4.5888,0.0918,5.4414,0.1092,0.3727,0.145423
126,3.3051,0.0661,5.4359,0.1091,0.3685,0.171858
127,2.7951,0.0559,5.439,0.1092,0.3642,0.149036
128,3.688,0.0738,5.4272,0.109,0.36,0.137357
129,5.7872,0.1157,5.4519,0.1094,0.3557,0.16459
130,6.3022,0.126,5.4739,0.1099,0.3515,0.178361
131,3.7076,0.0742,5.4874,0.1102,0.3472,0.186232
132,3.8171,0.0763,5.4974,0.1104,0.343,0.176485
133,3.2914,0.0658,5.4918,0.1102,0.3387,0.179198
134,3.1096,0.0622,5.4851,0.1101,0.3345,0.17734
135,1.9246,0.0385,5.4234,0.1089,0.3302,0.165062
136,6.6412,0.1328,5.4454,0.1093,0.326,0.195495
137,4.3432,0.0869,5.4489,0.1094,0.3217,0.165965
138,2.2294,0.0446,5.4493,0.1094,0.3175,0.164394
139,3.4296,0.0686,5.4315,0.109,0.3132,0.184769
140,11.2551,0.2251,5.4652,0.1097,0.309,0.204854
141,6.5626,0.1313,5.5098,0.1106,0.3047,0.161965
142,4.4722,0.0894,5.485,0.1101,0.3005,0.155737
143,7.3756,0.1475,5.5071,0.1106,0.2962,0.203779
144,10.2891,0.2058,5.5849,0.1121,0.292,0.180231
145,3.3486,0.067,5.5804,0.112,0.2877,0.181561
146,7.0866,0.1417,5.6253,0.1129,0.2835,0.215673
147,3.3784,0.0676,5.6085,0.1126,0.2792,0.164717
148,7.3256,0.1465,5.5899,0.1122,0.275,0.20506
149,2.8611,0.0572,5.5847,0.1121,0.2707,0.212775
150,8.1721,0.1634,5.5878,0.1122,0.2665,0.168344
151,10.725,0.2145,5.6693,0.1138,0.2622,0.215036
152,3.6337,0.0727,5.6388,0.1132,0.258,0.192746
153,3.0368,0.0607,5.6327,0.1131,0.2537,0.206933
154,2.3697,0.0474,5.6201,0.1128,0.2495,0.182599
155,4.9606,0.0992,5.4851,0.1097,0.2452,0.187347
156,13.1929,0.2639,5.5605,0.1112,0.241,0.198577
157,3.9358,0.0787,5.5426,0.1109,0.2367,0.189792
158,3.2292,0.0646,5.5053,0.1101,0.2325,0.201975
159,3.5959,0.0719,5.4688,0.1094,0.2282,0.195455
160,3.7646,0.0753,5.4231,0.1085,0.224,0.192818
161,6.9612,0.1392,5.4334,0.1087,0.2197,0.215411
162,12.2296,0.2446,5.5298,0.1106,0.2155,0.211446
163,4.0227,0.0805,5.5347,0.1107,0.2112,0.217912
164,5.0813,0.1016,5.4934,0.1099,0.207,0.201919
165,6.7833,0.1357,5.541,0.1108,0.2027,0.20828
166,15.6886,0.3138,5.5689,0.1114,0.1985,0.198539
167,4.7143,0.0943,5.5594,0.1112,0.1942,0.230457
168,2.4975,0.0499,5.4979,0.11,0.19,0.230481
169,3.03,0.0606,5.5093,0.1102,0.1857,0.228991
170,4.23,0.0846,5.3916,0.1078,0.1815,0.231764
171,3.4443,0.0689,5.4032,0.1081,0.1772,0.218147
172,12.4613,0.2492,5.4844,0.1097,0.173,0.243014
173,5.1167,0.1023,5.4868,0.1097,0.1687,0.233177
174,4.0184,0.0804,5.4943,0.1099,0.1645,0.212703
175,7.2455,0.1449,5.5383,0.1108,0.1602,0.250273
176,13.0572,0.2611,5.6383,0.1128,0.156,0.272359
177,3.1187,0.0624,5.6428,0.1129,0.1517,0.255326
178,3.6075,0.0722,5.6462,0.1129,0.1475,0.192012
179,6.1989,0.124,5.6698,0.1134,0.1432,0.246115
180,5.0334,0.1007,5.6851,0.1137,0.139,0.226438
181,3.7636,0.0753,5.6854,0.1137,0.1347,0.261011
182,11.7583,0.2352,5.7655,0.1153,0.1305,0.247574
183,18.9647,0.3793,5.9181,0.1184,0.1262,0.253968
