episode,total_reward,rps,avg_reward_100,avg_rps_100,epsilon,loss
101,2.8183,0.0564,4.78,0.0956,0.8142,0.087617
102,10.1011,0.202,4.7828,0.0957,0.8133,0.094888
103,5.3888,0.1078,4.801,0.096,0.8125,0.080586
104,3.4063,0.0681,4.772,0.0954,0.8116,0.109823
105,8.6492,0.173,4.8364,0.0967,0.8108,0.086736
106,2.3636,0.0473,4.8158,0.0963,0.8099,0.078028
107,4.0592,0.0812,4.8141,0.0963,0.8091,0.098637
108,3.4272,0.0685,4.8257,0.0965,0.8082,0.088069
109,11.319,0.2264,4.891,0.0978,0.8074,0.082691
110,2.2378,0.0448,4.884,0.0977,0.8065,0.083756
111,8.1809,0.1636,4.9354,0.0987,0.8057,0.091639
112,5.5935,0.1119,4.9244,0.0985,0.8048,0.090883
113,2.9731,0.0595,4.8633,0.0973,0.804,0.107806
114,2.9586,0.0592,4.8661,0.0973,0.8031,0.112525
115,3.6695,0.0734,4.8622,0.0972,0.8023,0.100748
116,5.5033,0.1101,4.8849,0.0977,0.8014,0.115209
117,2.7531,0.0551,4.8452,0.0969,0.8005,0.105534
118,2.2966,0.0459,4.8137,0.0963,0.7997,0.120984
119,3.6748,0.0735,4.7927,0.0959,0.7989,0.103644
120,4.4088,0.0882,4.7672,0.0953,0.798,0.116719
121,3.7784,0.0756,4.7681,0.0954,0.7972,0.105734
122,4.7748,0.0955,4.7736,0.0955,0.7963,0.114705
123,3.7266,0.0745,4.7846,0.0957,0.7954,0.125763
124,3.257,0.0651,4.7484,0.095,0.7946,0.104129
125,4.4581,0.0892,4.7416,0.0948,0.7938,0.115907
126,3.0185,0.0604,4.7319,0.0946,0.7929,0.114362
127,5.0231,0.1005,4.7331,0.0947,0.7921,0.1187
128,2.092,0.0418,4.7286,0.0946,0.7912,0.111457
129,6.6647,0.1333,4.776,0.0955,0.7903,0.122446
130,3.7164,0.0743,4.7868,0.0957,0.7895,0.116
131,5.6605,0.1132,4.8085,0.0962,0.7887,0.11835
132,2.23,0.0446,4.7956,0.0959,0.7878,0.103672
133,13.9534,0.2791,4.8902,0.0978,0.787,0.112053
134,6.3571,0.1271,4.9247,0.0985,0.7861,0.127161
135,4.0192,0.0804,4.9201,0.0984,0.7853,0.125715
136,3.6175,0.0724,4.9191,0.0984,0.7844,0.128724
137,6.4756,0.1295,4.8414,0.0968,0.7835,0.118075
138,6.7549,0.1351,4.8742,0.0975,0.7827,0.136453
139,2.2104,0.0442,4.8613,0.0972,0.7819,0.114278
140,7.5101,0.1502,4.9142,0.0983,0.781,0.132256
141,4.5043,0.0901,4.9302,0.0986,0.7802,0.14356
142,3.9758,0.0795,4.8805,0.0976,0.7793,0.128649
143,9.1818,0.1836,4.9514,0.099,0.7784,0.128229
144,5.7831,0.1157,4.9793,0.0996,0.7776,0.134492
145,6.4398,0.1288,4.921,0.0984,0.7768,0.128514
146,8.8076,0.1762,4.9097,0.0982,0.7759,0.129562
147,7.0429,0.1409,4.9421,0.0988,0.7751,0.159259
148,2.9674,0.0593,4.9472,0.0989,0.7742,0.141338
149,3.0078,0.0602,4.9519,0.099,0.7733,0.148774
150,6.1327,0.1227,4.9753,0.0995,0.7725,0.16308
151,2.1317,0.0426,4.936,0.0987,0.7717,0.145688
152,2.4741,0.0495,4.8849,0.0977,0.7708,0.143906
153,4.6446,0.0929,4.9023,0.098,0.77,0.151328
154,4.3487,0.087,4.8931,0.0979,0.7691,0.155089
155,12.6416,0.2528,4.9862,0.0997,0.7682,0.142526
156,2.4561,0.0491,4.9248,0.0985,0.7674,0.151237
157,2.7761,0.0555,4.9012,0.098,0.7665,0.176689
158,10.7373,0.2147,4.9865,0.0997,0.7657,0.158806
159,7.4122,0.1482,5.0365,0.1007,0.7649,0.162833
160,10.7665,0.2153,5.0901,0.1018,0.764,0.183119
161,4.6423,0.0928,5.0984,0.102,0.7631,0.153673
162,4.0729,0.0815,5.0948,0.1019,0.7623,0.161015
163,3.4586,0.0692,5.0798,0.1016,0.7614,0.169005
164,5.0586,0.1012,5.0896,0.1018,0.7606,0.156775
165,8.6141,0.1723,5.1273,0.1025,0.7598,0.173287
166,4.1629,0.0833,5.1135,0.1023,0.7589,0.188319
167,4.8994,0.098,5.1294,0.1026,0.7581,0.161322
168,4.7433,0.0949,5.1552,0.1031,0.7572,0.14878
169,5.8941,0.1179,5.0898,0.1018,0.7563,0.181336
170,3.7075,0.0741,5.0803,0.1016,0.7555,0.157905
171,14.6473,0.2929,5.1664,0.1033,0.7547,0.185273
172,4.4276,0.0886,5.1788,0.1036,0.7538,0.190378
173,3.4608,0.0692,5.1945,0.1039,0.753,0.165245
174,3.0313,0.0606,5.1894,0.1038,0.7521,0.190155
175,3.0349,0.0607,5.1613,0.1032,0.7512,0.192873
176,5.671,0.1134,5.1988,0.104,0.7504,0.190482
177,2.7035,0.0541,5.1892,0.1038,0.7495,0.171244
178,6.3652,0.1273,5.201,0.104,0.7487,0.202924
179,3.0908,0.0618,5.176,0.1035,0.7479,0.183053
180,3.7812,0.0756,5.1827,0.1037,0.747,0.172257
181,1.9276,0.0386,5.1658,0.1033,0.7461,0.205371
182,9.151,0.183,5.2285,0.1046,0.7453,0.208277
183,3.1873,0.0637,5.1939,0.1039,0.7444,0.196236
184,3.9655,0.0793,5.1983,0.104,0.7436,0.226183
185,10.05,0.201,5.2716,0.1054,0.7428,0.19589
186,5.5231,0.1105,5.2851,0.1057,0.7419,0.214332
187,2.892,0.0578,5.271,0.1054,0.741,0.213452
188,1.7303,0.0346,5.225,0.1045,0.7402,0.188506
189,3.4967,0.0699,5.2396,0.1048,0.7394,0.216309
190,10.8826,0.2177,5.3167,0.1063,0.7385,0.204493
191,1.9674,0.0393,5.2982,0.106,0.7377,0.17411
192,5.8058,0.1161,5.2778,0.1056,0.7368,0.173979
193,3.7333,0.0747,5.2936,0.1059,0.736,0.186373
194,1.9044,0.0381,5.2338,0.1047,0.7351,0.207863
195,8.9227,0.1785,5.1491,0.103,0.7343,0.2097
196,4.8916,0.0978,5.135,0.1027,0.7334,0.217467
197,2.9492,0.059,5.1057,0.1021,0.7326,0.211107
198,8.8002,0.176,5.1654,0.1033,0.7317,0.228236
199,8.5401,0.1708,5.1899,0.1038,0.7309,0.241376
200,2.3995,0.048,5.155,0.1031,0.73,0.193975
201,4.6741,0.0935,5.1736,0.1035,0.7292,0.193166
202,5.1321,0.1026,5.1239,0.1025,0.7283,0.257538
203,5.1973,0.1039,5.122,0.1024,0.7275,0.231673
204,5.1455,0.1029,5.1394,0.1028,0.7266,0.239035
205,9.2794,0.1856,5.1457,0.1029,0.7258,0.198225
206,2.7657,0.0553,5.1497,0.103,0.7249,0.20825
207,4.3519,0.087,5.1526,0.1031,0.7241,0.233993
208,3.9537,0.0791,5.1579,0.1032,0.7232,0.225695
209,3.1426,0.0629,5.0761,0.1015,0.7224,0.268042
210,3.7647,0.0753,5.0914,0.1018,0.7215,0.216058
